LGA,lga_code,Category A,Category B,Category C,Category D,AGDRP,DRA,Highest DRFA category
Armidale Regional (A),10130,YES,YES,YES,NO,YES,YES,C
Ballina (A),10250,YES,YES,YES,NO,NO,YES,C
Bega Valley (A),10550,YES,YES,YES,NO,YES,YES,C
Bellingen (A),10600,YES,YES,YES,NO,NO,YES,C
Blue Mountains (C),10900,YES,YES,YES,NO,YES,YES,C
Byron (A),11350,YES,YES,YES,NO,NO,YES,C
Central Coast (C) (NSW),11650,YES,YES,YES,NO,YES,YES,C
Cessnock (C),11720,YES,YES,YES,NO,YES,YES,C
Clarence Valley (A),11730,YES,YES,YES,NO,YES,YES,C
Coffs Harbour (C),11800,YES,YES,YES,NO,YES,YES,C
Eurobodalla (A),12750,YES,YES,YES,NO,YES,YES,C
Glen Innes Severn (A),13010,YES,YES,YES,NO,YES,YES,C
Greater Hume Shire (A),13340,YES,YES,NO,NO,NO,YES,B
Gwydir (A),13660,YES,YES,NO,NO,NO,YES,B
Hawkesbury (C),13800,YES,YES,YES,NO,YES,YES,C
Inverell (A),14200,YES,YES,YES,NO,NO,YES,C
Kempsey (A),14350,YES,YES,YES,NO,YES,YES,C
Ku-ring-gai (A),14500,YES,YES,NO,NO,NO,YES,B
Kyogle (A),14550,YES,YES,YES,NO,YES,YES,C
Lake Macquarie (C),14650,YES,YES,NO,NO,NO,YES,B
Lismore (C),14850,YES,YES,YES,NO,YES,YES,C
Lithgow (C),14870,YES,YES,YES,NO,YES,YES,C
Mid-Coast (A),15240,YES,YES,YES,NO,YES,YES,C
Mid-Western Regional (A),15270,YES,YES,YES,NO,YES,YES,C
Muswellbrook (A),15650,YES,YES,NO,NO,NO,YES,B
Nambucca (A),15700,YES,YES,YES,NO,YES,YES,C
Narrabri (A),15750,YES,YES,NO,NO,NO,YES,B
Oberon (A),16100,YES,YES,NO,NO,NO,YES,B
Penrith (C),16350,YES,YES,NO,NO,NO,YES,B
Port Macquarie-Hastings (A),16380,YES,YES,YES,NO,YES,YES,C
Queanbeyan-Palerang Regional (A),16490,YES,YES,YES,NO,YES,YES,C
Richmond Valley (A),16610,YES,YES,YES,NO,YES,YES,C
Shoalhaven (C),16950,YES,YES,YES,NO,YES,YES,C
Singleton (A),17000,YES,YES,YES,NO,YES,YES,C
Snowy Monaro Regional (A),17040,YES,YES,YES,NO,NO,YES,C
Snowy Valleys (A),17080,YES,YES,YES,NO,YES,YES,C
Sutherland Shire (A),17150,YES,YES,NO,NO,NO,YES,B
Tamworth Regional (A),17310,YES,YES,NO,NO,NO,YES,B
Tenterfield (A),17400,YES,YES,YES,NO,YES,YES,C
Tweed (A),17550,YES,YES,YES,NO,NO,YES,C
Upper Hunter Shire (A),17620,YES,YES,NO,NO,NO,YES,B
Upper Lachlan Shire (A),17640,YES,YES,NO,NO,NO,YES,B
Uralla (A),17650,YES,YES,NO,NO,NO,YES,B
Walcha (A),17850,YES,YES,YES,NO,YES,YES,C
Wingecarribee (A),18350,YES,YES,YES,NO,YES,YES,C
Wollondilly (A),18400,YES,YES,YES,NO,YES,YES,C
East Gippsland (S),22110,YES,YES,NO,NO,YES,YES,B
Towong (S),26670,YES,YES,NO,NO,YES,YES,B
Bundaberg (R),31820,YES,YES,NO,NO,NO,YES,B
Gladstone (R),33360,YES,YES,NO,NO,NO,NO,B
Gold Coast (C),33430,NO,YES,NO,NO,NO,YES,B
Gympie (R),33620,NO,YES,NO,NO,NO,NO,B
Ipswich (C),33960,NO,YES,NO,NO,NO,NO,B
Livingstone (S),34530,YES,YES,NO,NO,YES,YES,B
Lockyer Valley (R),34580,NO,YES,NO,NO,NO,YES,B
Noosa (S),35740,YES,YES,YES,NO,YES,YES,C
Scenic Rim (R),36510,YES,YES,YES,NO,YES,YES,C
Somerset (R),36580,YES,YES,NO,NO,YES,YES,B
Southern Downs (R),36660,YES,YES,YES,NO,YES,YES,C
Sunshine Coast (R),36720,YES,YES,YES,NO,YES,YES,C
Toowoomba (R),36910,YES,YES,NO,NO,YES,YES,B
Adelaide Hills (DC),40120,YES,NO,NO,NO,YES,YES,A
Kangaroo Island (DC),42750,YES,NO,NO,NO,YES,YES,A
Kingston (DC) (SA),43360,YES,NO,NO,NO,NO,NO,A
Lower Eyre Peninsula (DC),43710,NO,NO,NO,NO,YES,NO,
Mid Murray (DC),44210,YES,NO,NO,NO,NO,YES,A
Mount Barker (DC),44550,YES,NO,NO,NO,YES,YES,A
Playford (C),45680,YES,NO,NO,NO,YES,YES,A
Yorke Peninsula (DC),48830,YES,NO,NO,NO,YES,YES,A
Break O'Day (M),60210,YES,NO,NO,NO,NO,NO,A
